"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"糖***p","PLUS会员","star5","1，外观不做评价，各有看法。2，脸ID解锁很快，黑暗中可以解锁，躺着可以解锁，洗澡一脸水可以解锁，闭眼不能解锁，我女儿可以解锁。3，屏幕第一观感是比plus小了，但其实取决于使用的app是否已更新为适应刘海屏的UI。4，速度，丝般顺滑。5，目前最好玩的功能是录制表情包。6，拍照功能没有做测试，不太关注。7，取消了home，新的手势操作需要适应过程。 8，价格较贵，不推荐购买。","2017-11-10 16:55","3","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:04.9995943"
"金***L","PLUS会员[试用]","star1","什么东西 谁能给我解释一下","2017-11-16 14:50","17","7","[购买5天后追评]","直接没办法关机","https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:05.1196736"
"A***4","京享值29763","star5","凑合用，没什么惊喜","2017-11-11 14:10","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:05.2317495"
"雪***尚","京享值16042","star5","不错，面部识别快。","2017-11-08 21:53","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:05.3418228"
"D***a","PLUS会员","star5","查过了是正品，体验很好，水洗实验后正常。开始用不习惯体验了两天就很适应了，开机和前几代没得比，速度简直令我惊讶。好了就这么多，比官网贵了800还能接受，谢谢京东给我很好的体验","2017-11-08 22:31","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:05.4639035"
"j***s","京享值20124","star5","在没有抢到自营X之后 ，内心是不甘的，随后开始考虑在第三方卖家购买，但是，像大家一样很担心手机的货源，不过在查看店铺的资料信息和其他手机的评价后，感觉可以在这家店购买，买时价格正在波动，每隔几个小时价格就会有几百的波动，所以一直在等后来以优惠价购买了。感觉很值。在官网已经查过了，手机肯定是国行正品。也是用了几年的果，配件也没有异常。（毕竟十来年的老店了）大家可以放心的购买。??","2017-11-11 17:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:05.5999941"
"师***辰","京享值17983","star5","是正品 看到评论上说配件是旧的 机子是真的 买了两个 跟我老婆一人一个 我收到的都是新的 也没有损坏 而且 拆之前录个视频 以免有坏的 绝对不是托 看图说话","2017-11-18 23:41","3","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:08.1396856"
"秋***吹","PLUS会员","star5","12号收到的手机，用了一个多星期。手机是正品行货手机现在没发现什么问题。性能相对于原来的苹果6提升很大。","2017-11-21 09:06","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:08.2417536"
"j***蜡","京享值30341","star5","这个颜色回来有点吃惊，不是很好看的配色，还是黑色好看些，功能确实很强大，从6开始用的苹果，一直下来好7，喜欢苹果的操作！","2017-11-06 23:57","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:08.3368163"
"j***7","京享值17392","star5","这几天一直在使用，屏显很棒，但有些APP还没支持全面屏","2017-11-10 22:25","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:08.4318802"
"z***3","PLUS会员","star5","11月4号就收到货了，查过了未激活的全新手机，X比想象中的小，适合女生用，总之是一次愉快的购物","2017-11-06 10:20","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:08.5469575"
"战***限","PLUS会员","star5","手机是正品，用着非常流畅，迫不及待就先玩了两小时。物流用了5天，可能真的是太远了。","2017-11-11 21:58","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:08.6540282"
"j***c","京享值16476","star5","很好。只是双十一速度比较慢。机子是真机。手感很好。","2017-11-18 18:44","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:08.7761089"
"j***恓","PLUS会员","star5","其实买之前心情挺忐忑 但到货之后所有疑虑都打消了 逼格超高的iphone 买了绝不后悔","2017-11-11 10:11","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:08.8901849"
"g***者","PLUS会员","star5","挺好,店家很给力,京东快递,第2天收到货,国行，双十一期间价格满意，老铁，没毛病！","2017-11-15 15:21","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:09.0082635"
"1***9","PLUS会员","star5","手机己收到，是正品行货，大家可以放心购买，跟历代的iphone差天别地","2017-11-10 11:20","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:09.5045947"
"fengbin5211","PLUS会员","star5","物有所值，东西是正品一开始还担心会有问题现在顾虑都打消了值得购买，发货速度挺快。","2017-11-06 10:07","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:11.7661016"
"E***o","京享值20972","star5","这次购物体验确实不错 打消了我非京东自营不买的芥蒂！大大的赞一个！手机也是很不错的！会经常光顾的","2017-11-09 20:49","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:11.8721722"
"L***g","PLUS会员","star5","正品， 查了序列号。 物流很快，一天就到了。  店家服务态度很好。","2017-11-06 15:43","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:11.9712376"
"黑***怪","京享值12661","star5","买给媳妇儿的 媳妇儿非常喜欢 速度有所提升 也加入了新的科技 总之非常满意 非常愉快的一次购物","2017-11-13 20:56","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:12.0693035"
"刁民海爷","京享值17597","star5","手机没毛病，只是通过特殊渠道拿的货而已，不是正品行货！其次包装盒封纸不是原封的，后面封上去的，然后是里面数据线是调换过得，我去售后检测过，线不是原装的！商家为了一根线搞这个值得吗！信誉很重要","2017-11-07 04:42","2","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:12.1723722"
"叫***_","京享值25294","star5","面容识别很强大，有些软件会闪退，应该没更新吧。根拉风比我的iPhone 7亮黑色还拉风","2017-11-09 14:45","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:12.2764408"
"j***b","京享值10228","star5","很不错的手机，就是没有按键不太习惯，到货就两天时间，一定要在19点前拍，不然就多等一天","2017-11-08 16:58","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:12.3865148"
"M***c","京享值10988","star5","用上一天来写评论了  各种不习惯已经慢慢在适应了  充电充了三个半小时整充满  至于跑分什么的 我测不来 耗电挺快的   打一些手游 界面会有点差异 但是习惯一下就好 总体 我还是蛮喜欢iphone x的","2017-11-10 22:21","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:12.4995907"
"执***忘","PLUS会员[试用]","star5","到货非常迅速   白条12%期比自营还便宜啊哈 是正品放心买","2017-11-08 17:31","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:12.6156661"
"a***0","PLUS会员","star5","手机是正品无误，3天到手上，现在贼激动，图后面补上","2017-11-08 12:54","1","1","[购买4天后追评]",,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:12.7507567"
"j***1","京享值11401","star5","第一次在第三方买 比官网便宜一百块钱 个人感觉还行就是发货的速度太慢了","2017-11-08 16:30","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:15.4015229"
"W***e","京享值9402","star5","手机像素很好，用起来感觉不错，比我想像的要好，而且面部视别功能挺好的?。","2017-11-10 00:09","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:15.5055915"
"1***p","京享值8863","star5","5号下的单6号下午收到货，很满意，比官网价格还便宜了几十，赚了。好评。","2017-11-07 19:30","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:15.6016555"
"八***景","PLUS会员","star5","到货速度好快，给快递点个赞！拿到手使用了一阵子，这个音响质量真的好ww面容ID也没网上传的段子那么不堪，总之来说还是很好用的，算是值得这个价格了吧！唯一不爽的就是各大软件UI还没完全适配X，导致好多黑边看着简直辣眼睛23333还有zfb必须手动输密码了有点麻烦，其余没什么黑点啦！","2017-11-05 22:15","1","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:16.0059248"
"j***t","京享值34581","star5","国行未拆封，手机完美，比想象中的好很多，齐刘海也没那么突兀，看习惯自然就好了，苹果能带出趋势，别一边骂一边下单了，网络喷子不好玩","2017-11-10 21:55","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:16.1069921"
"风***t","京享值10787","star5","商品先不说别的，光手感和外观就让人很满意，正品，很信任京东","2017-11-06 10:39","1","1","[购买10天后追评]","用了这么久，真的是很好很让人满意","https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:16.2110620"
"风***L","PLUS会员","star5","送货速度很快  东西不错  是正品  赞一个！","2017-11-19 18:25","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:16.3271387"
"雷***痴","PLUS会员","star5","还能说什么呢！最强旗舰机！","2017-11-05 13:52","2","3",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:16.4412153"
"s***h","PLUS会员","star5","国行正品，包装配件都没有问题，大家放心买吧。","2017-11-09 13:44","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:16.5652967"
"弧***扬","PLUS会员","star5","不错啊，速度很快，厉害了我的京东快递。。。。","2017-11-07 11:57","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:16.6883786"
"j***v","PLUS会员","star5","很好很大气，比较上档次，电池容量也好多了！","2017-11-08 21:32","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:18.9578908"
"我***茜","京享值26139","star5","用了两天还不错 就是没有想象中的惊艳 但也没有失望 很好用","2017-11-15 13:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:19.0609595"
"夜***麻","PLUS会员[试用]","star5","不骗人，这个我真收到了，用起来没啥毛病","2017-11-05 16:21","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:19.5873101"
"9***1","PLUS会员","star5","货收到后激活了感觉还可以、物流很棒。","2017-11-09 12:38","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:19.6833734"
"j***b","京享值21275","star5","手机是真的骚 快递还好 毕竟双十一 总体还不错 好评","2017-11-14 20:18","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:19.7814387"
"徐***腾","京享值32463","star5","没有了hom键，还有些不习惯，无线充电器也不是很方便","2017-11-08 22:17","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:19.8875100"
"2***m","京享值30646","star5","手机很好，好像反应也不是很快，刚刚用不习惯，有点不","2017-11-10 13:02","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:19.9985846"
"Y***8","京享值16877","star5","东西是行货，发货也比预计的48小时内要早","2017-11-09 16:43","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:20.1156613"
"Ly_胖子","京享值13516","star5","操作模式稍稍有些改变，不过还算不错，","2017-11-16 22:54","1","3",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:20.2317393"
"caeser丶","京享值22309","star5","S7换的X，讲道理X是全面屏系统体验最好的手机了，面部识别秒解锁，系统针对全面屏优化也很好，底部滑动条带来的体验比home键还要好用。就是目前还有些软件还没有得到适配","2017-11-11 20:31","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:20.3538206"
"德***克","京享值27416","star5","东西很好，发货速度也很快","2017-11-17 12:52","2","3",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:22.6263341"
"1***p","京享值13115","star5","8388 到手的 你们后悔去吧。哈哈。 完美","2017-11-14 09:26","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:22.7314047"
"j***6","PLUS会员","star5","发货速度快，价格合适??","2017-11-10 12:24","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:22.8364747"
"n***4","PLUS会员","star5","没啥好说的，价钱合适。","2017-11-08 15:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:22.9535527"
"j***7","京享值12303","star5","手机到手，手感还不错，挺重的！屏幕清晰！","2017-11-16 11:18","0","1","[购买6天后追评]","系统刚拿到手还不是很习惯，过段时间再看一下！","https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:23.0956467"
"j***u","京享值16892","star5","是行货！还送了个套，钢化屏膜！","2017-11-13 10:21","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:23.2007167"
"W***9","京享值24270","star5","物流很快，是正品货，包装的也很好，什么时候激活，保修就从什么时候开始，客服态度很好！是一家不错的店！","2017-11-11 14:57","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:23.3107900"
"小***呆","PLUS会员","star5","双十一完了以后拍的，但是这个物流真的慢爆了，很无奈，但是东西很好???","2017-11-19 22:50","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:23.4198633"
"发***包","PLUS会员","star5","哎呀嘛，这么优惠这么快能买到国行简直不可思议，忐忑了一天收到实物太开心了，现在就是用新手机打的评价，一万个赞。还送壳又送膜，一万个满意了。","2017-11-05 18:46","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:23.5389419"
"地主的傻狍子","PLUS会员","star5","手机很好，看了看是原装未拆封未激活国行。用起来暂时还没发现有什么毛病。双十一发货比较慢也可以理解，总体来说，除了赠品很次，其他都还行。","2017-11-13 13:34","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:23.6730319"
"H***3","京享值10438","star5","手机不错，客服也很热情。","2017-11-09 23:11","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:26.3708280"
"格***8","京享值69302","star5","相当不错，大家放心购买，发票齐全，","2017-11-07 22:25","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:26.4698940"
"楚***寒","京享值11037","star5","很不错，正品，漂亮，老婆很喜欢！","2017-11-11 22:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:26.5669587"
"陌***东","京享值15534","star5","不错，高大上，同事们羡慕的不得了","2017-11-11 15:53","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:26.6620220"
"菊***蛋","京享值11326","star5","机器正品 没啥问题。可以放心购买","2017-11-11 03:07","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:26.7620893"
"落***光","京享值14756","star5","很满意也很快。    正品没商量","2017-11-10 10:05","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:26.8671593"
"z***g","PLUS会员","star5","通过官网刚刚业证结束，东西是正品，开关机没有问题，物流也很快，价格高一点我也接受，毕竟我们这儿抢不到，就是可能感觉深空灰更好看吧！","2017-11-09 14:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:26.9832359"
"j***i","京享值11290","star5","我不明白为什么之前网上黑X的，面部识别非常快 虽然出错率还是会有 相机功能也异常太强大 双十一前8488分期免期入手的 看到双十一价8788好嗨森～","2017-11-12 02:38","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:27.0963112"
"Y***Y","京享值15899","star5","很好看，没问题的。","2017-11-10 14:16","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:27.2193932"
"海***沈","京享值9846","star5","双11下单，13日收到，京东快递就是快。第一次用苹果手机，不熟悉操作，托别人激活注册，手机代码也不知道，這代码有什么用处？能否再拿到，很纠结。不过装好了以后，用了两天忎觉还是很爽的，价佃很高，双11也没降下來，下单时很纠结，在苹X和华为I0之间犹豫，最后下狠心買了这个X，現在还没有不好的忎觉，只要用着满意我也高兴，以后再评","2017-11-16 06:51","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:27.3394725"
"悠***曼","京享值92719","star5","着急买iPhoneX选的这家店铺，当时别处都加价1200元，这家店铺只加价100元，良心店家。发货也很快，手机包装完整，是全新的机器。非常给力","2017-11-16 10:41","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:30.0382713"
"jd_136088kkd","京享值17120","star5","漂亮，待使用后再补评","2017-11-08 14:00","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:30.1483440"
"胡***8","京享值11272","star5","手机已上手，非常满意","2017-11-06 21:58","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:30.2464093"
"米***演","京享值11544","star5","太惊喜了，想不到低于官网拿到国行现货，快递速度也是嘎嘎的，一直犹豫没有home键会不会很麻烦，用了一个小时,一点不违和，京东的货就是放心","2017-11-06 22:48","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:30.3414739"
"j***e","京享值9288","star5","没有期望的好。软件有个别不兼容。总体还是不错的。可以买。就这么多。","2017-11-05 13:57","1","5",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:30.4405399"
"谁***过","PLUS会员","star5","屏幕有2个坏点，卖家说7天内到苹果售后检测，但是连发票斗没给我，让我怎么去检测！等补发收到黄花菜都凉了！","2017-11-13 21:08","1","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:30.5486106"
"u***m","京享值16622","star5","物流很快，卖家态度很好，收到的商品也完好无损，唯一欠缺的就是快递员送货时至少应该联系一下收件人，本人订的商品也算是贵重物品了，就算不用当面验货那是不是也得告诉本人所订的商品以按所写地址投递外包装完好啊？结果是我自己各方面都联系一遍才知道包裹已经投递到单位了","2017-11-09 23:15","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:30.6616859"
"威***威","PLUS会员","star5","没毛病","2017-11-06 12:47","1","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:31.0559491"
"多***n","京享值9935","star5","非常满意，用了好几天了才评的。反应快，电池容量大，时间长。就是价格有时不稳定，大赞，给大家推荐一下就买、手机在手上没发拍手机照片","2017-11-19 16:15","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:31.1790304"
"l***7","京享值25875","star5","刚刚开始在官网预定的 要等一个月 后来偶然看见店家这里有现货而且立马可以发货 连忙开始下订单 三天到货了 非常好 来的又快好评","2017-11-08 13:50","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:31.3011117"
"惜***利","京享值17249","star5","比想象中好！","2017-11-13 10:18","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:33.5566152"
"n***l","PLUS会员","star5","收到了，很不错，就是快递有点慢，不过也理解了","2017-11-09 11:24","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:33.6636853"
"l***5","PLUS会员","star5","手机是正品，发货速度超快，第一时间拿到手机，价格基本上全网最低，都比较了，唯一的不足就是无线充电器送完了","2017-11-08 22:17","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:33.7597493"
"油***路","京享值14095","star5","刚收到货，正在使用阶段，暂时感觉手感还不错","2017-11-16 14:57","2","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:33.8558139"
"K***g","PLUS会员","star5","正品，物流三天，手机好用，官方验证没问题。","2017-11-10 17:30","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:33.9548786"
"民***人","PLUS会员","star5","正品 发货速度很快 送的礼品很不错 赞一个","2017-11-07 19:10","0","3",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:34.0569472"
"j***2","京享值12307","star5","正在用，效果不错","2017-11-16 19:27","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:58:34.6113171"
